pwd, "Prints the path of the working directory, starting from the root"
ls, "Lists computer files and directories in Unix and Unix-like operating systems."
cd, "Change directory command. It is used to change current working directory"
mkdir, "Allows the user to create directories. Create multiple directories at once"
rmdir, "Removes empty directories from the filesystem in Linux"
rm, "Remove objects such as files, directories and other from the file system like UNIX"
cp, "Copies files or group of files or directory"
mv, "Moves one or more files or directories from one place to another in file system like UNIX"
ssh, "Protocol used to securely connect to a remote server/system"
scp, "Copies file(s) between servers in a secure way"
man, "Displays the user manual of any command that we can run on the terminal"
g++, "For preprocessing, compilation, assembly and linking of source code to generate an executable file"
gcc, "To compile mainly C and C++ language. To compile Objective C and Objective C++"
make, "Determines which pieces of a program need to be recompiled, and issue the commands to recompile them"
ps, "To list the currently running processes and their PIDs"
kill, "Sends signals to running processes"
top, "Provides a dynamic real-time view of the running system"
who, "To get information about currently logged in user on to system"
chmod, "To change the access mode of a file"
cat, "To see the calendar of a specific month/ whole year. It shows current monthâ€™s calendar as output"
alias, "Instructs the shell to replace one string with another string while executing the commands"
chown, "To change the file Owner or group"
df, "Displays information related to file systems about total space and available space"
grep, "Searches a file for a particular pattern of characters, displays lines containing that pattern"
echo, "Displays line of text/string that are passed as an argument"
exit, "To exit the shell where it is currently running"
clear, "To clear the terminal screen"
find, "To find files and directories and perform subsequent operations on them"
finger, "It is a user information lookup command, gives details of all users logged in"
free, "Displays the total amount of free space along with the amount of memory "